Position in alignment, Recombination breakpoint number (200nt win), Upper 99% CI, Lower 99% CI, Upper 95% CI, Lower 95% CI
4475,17.3309,17.40709,3.796781,15.64052,4.858016
4477,17.41778,17.57985,3.870493,15.86623,4.911951
4479,17.43506,17.64421,3.955192,15.9799,5.001063
4481,17.45237,17.74148,4.005954,16.03098,5.059123
4483,17.46829,17.83874,4.041838,16.08699,5.067452
4485,17.4932,17.91123,4.07325,16.15263,5.122732
4487,17.53405,17.8987,4.097764,16.32578,5.201575
4489,17.58147,17.88692,4.096672,16.38034,5.212878
4491,17.63928,18.00026,4.100138,16.64478,5.359237
4493,17.70188,18.18411,4.104137,16.99398,5.507481
4495,17.88892,18.70732,4.453249,17.38985,5.632289
4497,17.84045,19.4529,4.659047,17.96531,6.010763
4499,17.76476,19.59084,4.62522,18.05276,6.079076
4501,17.6602,19.56726,4.551923,18.02272,6.05973
4503,17.53014,19.69231,4.531459,18.00638,6.053067
4505,17.2932,19.8962,4.472143,18.03797,6.136391
4507,17.14645,20.17831,4.58757,18.24197,6.340821
4509,16.99427,20.26917,4.57466,18.25883,6.305272
4511,16.86479,20.17401,4.523935,18.28552,6.382954
4513,16.70501,20.08393,4.471905,18.17097,6.337361
4515,16.60298,20.02871,4.426087,18.08631,6.302716
4517,16.48947,19.98082,4.378248,18.08897,6.226394
4519,16.36682,19.97607,4.378879,18.03161,6.161826
4521,16.23513,19.9783,4.402822,18.02141,6.144141
4523,16.10355,19.98985,4.424639,18.04304,6.09892
4525,16.01866,20.00454,4.463405,18.0832,6.083858
4527,15.95489,20.02363,4.500025,18.14284,6.067577
4529,15.90237,20.0531,4.486025,18.12908,6.09487
4531,15.85409,20.02818,4.496078,18.20384,6.017163
4533,15.81005,20.1633,4.549547,18.38522,6.234509
4535,15.69423,20.3348,4.541596,18.48477,6.229993
4537,15.64701,20.50271,4.792638,18.75126,6.377917
4539,15.56889,20.80038,4.866467,18.8045,6.508952
4541,15.51747,20.91588,4.87721,18.77087,6.519744
4543,15.44278,20.98491,4.862057,18.71543,6.544397
4545,15.34481,21.06193,4.837114,18.63816,6.503733
4547,15.18026,21.10051,4.815847,18.69616,6.542195
4549,15.03611,21.13042,4.822069,18.78526,6.44841
4551,14.96437,21.12508,4.832763,19.0358,6.471274
4553,14.94401,21.33746,4.645976,19.00218,6.728765
4555,15.07668,21.54041,4.665706,19.10958,6.838205
4557,15.17842,21.66796,4.714044,19.20276,6.846617
4559,15.29355,21.94714,4.766405,19.3461,6.931225
4561,15.45079,22.25728,5.105,19.62057,6.949034
4563,15.43406,22.31301,5.114202,19.82302,7.027912
4565,15.41734,22.32682,5.12212,19.94257,7.084865
4567,15.38583,22.34122,5.123448,19.93179,7.106612
4569,15.36891,22.35263,5.133931,20.05316,7.153188
4571,15.35028,22.36107,5.144583,20.20461,7.250577
4573,15.33165,22.3695,5.155235,20.34134,7.26682
4575,15.35692,22.52358,5.368009,20.60441,7.289717
4577,15.29005,22.61949,5.186306,20.63125,7.325237
4579,15.20989,22.79998,5.244846,20.71362,7.372217
4581,15.16764,22.93901,5.405057,20.83418,7.525446
4583,15.11397,22.96317,5.472592,20.85947,7.548069
4585,15.05525,23.00345,5.540011,20.81282,7.57161
4587,14.97655,23.01577,5.586511,20.75404,7.598322
4589,14.89787,23.02806,5.63381,20.75252,7.6203
4591,14.82522,23.05216,5.704546,20.76205,7.631066
4593,14.66626,23.54756,5.717821,21.14335,7.721928
4595,14.52103,23.60571,5.721193,21.32138,7.755115
4597,14.36596,23.6159,5.726269,21.33263,7.824282
4599,14.2109,23.62606,5.731346,21.41998,7.949925
4601,13.96297,23.63785,5.736427,21.48454,8.069779
4603,13.73738,24.03435,5.763464,21.62053,8.128686
4605,13.45886,24.15721,5.755738,21.6563,8.225161
4607,13.27036,24.28258,5.745058,21.79633,8.279187
4609,13.0866,24.27115,5.741321,21.84501,8.418413
4611,12.86777,24.41664,5.830162,21.9698,8.444118
4613,12.54493,24.16115,5.753747,21.97009,8.459281
4615,12.21802,24.06332,5.773447,21.96869,8.485957
4617,11.90288,23.99073,5.785542,21.9284,8.498005
4619,11.55966,23.91363,5.794849,21.95415,8.525315
4621,11.16971,23.81164,5.792427,21.8073,8.447495
4623,10.92574,23.66916,5.765258,21.76957,8.448693
4625,10.69072,23.52404,5.746843,21.67245,8.45219
4627,10.63629,23.38071,5.737072,21.63316,8.420899
4629,10.59249,23.33949,5.726848,21.66279,8.357827
4631,10.55512,23.33663,5.720066,21.80285,8.244093
4633,10.79831,24.30609,6.134668,22.32723,8.468143
4635,11.2826,25.04881,6.273259,22.54652,8.590834
4637,11.25181,25.49516,6.459985,23.10814,8.905468
4639,11.17982,25.93389,6.595359,23.28144,9.279845
4641,11.10133,26.0425,6.744878,23.46865,9.385934
4643,10.75959,26.03097,6.754188,23.41732,9.374582
4645,10.45906,25.95255,6.761312,23.43173,9.269037
4647,9.869338,25.84997,6.87302,23.43169,9.250681
4649,9.371992,25.45085,6.735504,23.24515,9.055044
4651,9.241526,25.38145,6.861126,23.16094,9.141356
4653,9.10128,25.34488,7.000495,23.174,9.128368
4655,8.962544,25.22744,7.033668,23.03577,9.096353
4657,8.887508,25.18386,7.165736,23.02762,9.049159
4659,8.819046,24.90337,7.247332,22.91932,8.986583
4661,8.736863,24.96207,7.024135,22.86499,8.961151
4663,8.710076,25.08648,6.951332,22.83065,8.85816
4665,9.163106,24.70824,6.857068,22.22781,8.515247
4667,9.37468,24.57295,6.825894,21.94793,8.337762
4669,9.392515,24.5185,6.595256,21.95996,8.298008
4671,9.389344,24.44874,6.511979,21.86266,8.200688
4673,9.211838,24.2731,6.542272,21.77321,8.183781
4675,9.122062,24.26552,6.55091,21.77079,8.2254
4677,9.035485,24.26704,6.483386,21.78322,8.210116
4679,9.025079,24.30829,6.531719,21.84711,8.233367
4681,9.018324,24.3794,6.626337,21.85523,8.265656
4683,9.023692,24.43787,6.872728,21.89183,8.331996
4685,9.030802,24.39609,6.874654,21.93235,8.32017
4687,9.213768,24.34644,6.779643,21.96081,8.336501
4689,9.86176,24.45848,6.984567,22.44993,8.452014
4691,10.02768,24.18093,7.029399,22.59016,8.55854
4693,10.06316,23.8306,7.060609,22.44453,8.472713
4695,9.963412,23.59577,6.825511,22.06656,8.291865
4697,10.064,23.24843,6.62646,21.36039,7.980422
4699,10.19154,23.35788,6.657273,21.29155,7.87877
4701,10.44524,23.52106,6.756487,21.34656,7.955284
4703,10.53486,23.66105,6.701405,21.29385,7.953705
4705,10.60075,23.73986,6.443392,21.15269,7.829784
4707,10.59243,23.61554,6.36442,20.9378,7.749862
4709,10.59013,23.52552,6.311387,20.90791,7.744669
4711,10.55137,23.47973,6.221817,20.91203,7.751311
4713,10.61238,23.60918,6.178914,20.83776,7.780328
4715,10.73477,23.86336,6.12399,21.02329,7.82781
4717,10.82526,24.11343,6.057375,21.08839,7.89157
4719,10.93364,24.07076,6.026364,21.10746,7.931051
4721,11.07499,24.03952,5.999866,21.08394,7.841457
4723,11.21623,24.12406,5.973372,21.08655,7.87926
4725,11.32152,24.25046,5.906995,21.17369,7.950964
4727,11.52604,24.48405,5.882876,21.50346,8.043573
4729,11.71368,24.64564,6.104692,21.48725,8.12624
4731,11.88826,24.79741,6.009982,21.41987,8.163405
4733,12.01213,24.75754,5.91291,21.42121,8.131846
4735,12.02665,24.53705,5.767348,21.54213,8.181472
4737,11.91994,24.36393,5.747622,21.20216,7.933319
4739,11.90391,24.21357,5.787832,21.05989,7.909346
4741,11.95289,24.16839,5.919149,21.10776,7.954888
4743,12.02845,24.19965,6.28131,21.38591,8.08224
4745,12.68872,24.52228,6.792325,21.98507,8.366564
4747,12.79215,24.65213,6.830723,22.1671,8.428433
4749,12.85188,24.74654,6.794872,22.17878,8.433094
4751,12.87471,24.81298,6.75085,22.03974,8.353251
4753,12.95539,25.25381,6.920122,22.11151,8.606354
4755,12.88725,25.33219,6.786293,22.1347,8.626488
4757,12.86106,25.26735,6.78742,22.18174,8.633547
4759,12.91082,25.35405,6.728394,22.20627,8.617043
4761,12.97316,25.49283,6.746963,22.05462,8.596776
4763,13.21111,25.51905,6.979952,22.12611,8.796213
4765,13.38399,25.77555,6.684679,22.30281,8.814506
4767,13.49056,26.01921,6.448895,22.41766,8.782402
4769,13.59905,26.04024,6.380761,22.57116,8.857141
4771,13.77234,26.11506,6.488544,22.86896,9.045524
4773,13.87624,25.99994,6.535328,22.86223,9.014585
4775,13.93444,25.45345,6.572051,22.80021,8.999239
4777,14.05408,25.28208,6.602175,22.75356,8.971068
4779,14.19896,25.25626,6.637576,22.58258,9.023468
4781,14.37247,25.33028,6.565128,22.58914,8.914565
4783,14.55762,25.4148,6.695064,22.59612,8.899569
4785,14.71394,25.46621,6.726024,22.53604,8.882355
4787,14.87382,25.50533,6.754735,22.53725,8.865126
4789,15.03657,25.53216,6.781198,22.45028,8.874106
4791,15.1926,25.55051,6.652475,22.43325,8.771761
4793,15.32231,25.22309,6.464664,21.93457,8.595899
4795,15.54053,24.89622,6.422419,21.73141,8.469765
4797,15.86812,25.12968,6.421712,21.64741,8.395662
4799,16.30592,25.2722,6.426024,21.83781,8.414549
4801,16.64229,25.45635,6.452403,21.83382,8.370045
4803,16.74821,25.23436,6.581093,21.83676,8.23867
4805,16.94883,25.22025,6.595687,21.99623,8.317892
4807,17.10398,25.87144,6.588032,22.1719,8.364893
4809,17.18743,25.87077,6.371874,22.20333,8.332048
4811,17.31507,25.82198,6.381293,22.1252,8.110024
4813,17.48013,25.44514,6.465796,22.05795,8.173318
4815,18.05906,25.3204,6.647299,22.11364,8.202826
4817,18.54524,25.3989,6.916673,22.38257,8.502002
4819,18.64455,25.44693,7.181717,22.57253,8.685311
4821,18.74352,25.50039,7.201964,22.68726,8.780254
4823,18.84682,25.58967,7.280914,22.83537,8.879745
4825,18.95432,25.70182,7.672239,22.95733,9.037724
4827,19.03478,26.30304,7.70116,23.22055,9.275176
4829,19.10345,26.57154,7.803389,23.49714,9.393765
4831,19.14319,26.53061,7.961971,23.65358,9.605294
4833,18.81833,25.78735,7.868165,23.23378,9.20303
4835,18.1866,24.55907,7.711015,22.82356,9.010773
4837,18.12773,24.26842,7.281826,22.40813,8.72863
4839,18.13511,24.24975,7.196228,22.17882,8.681578
4841,18.38787,24.24019,7.151845,22.01246,8.658801
4843,18.60101,24.33205,7.211398,22.12589,8.777209
4845,18.86188,24.43056,7.641795,22.22172,8.946792
4847,19.19979,24.30296,7.521675,22.18194,8.790692
4849,19.47061,24.33177,7.494324,22.1898,8.759656
4851,19.67549,24.23964,7.458123,22.2181,8.797895
4853,19.78913,24.13127,7.373809,22.15562,8.775207
4855,19.91317,24.10389,7.363103,22.05613,8.647167
4857,19.98824,24.3274,7.375885,21.93902,8.604638
4859,20.07065,24.20575,7.304852,21.88595,8.638221
4861,20.15014,24.05292,7.221967,21.74856,8.584368
4863,20.17056,23.88507,7.133838,21.58628,8.371272
4865,19.68583,23.48448,7.018795,21.5997,8.239133
4867,19.60276,23.48749,6.843804,21.67836,8.141411
4869,19.91875,23.81628,6.916948,22.14218,8.453061
4871,20.20795,23.77214,7.114711,22.54683,8.632695
4873,20.59033,23.9404,7.356693,22.76251,8.735361
4875,20.73059,24.29469,7.453923,22.9086,8.872316
4877,20.97067,24.60637,7.690233,23.27045,9.025609
4879,21.15108,24.7011,7.82866,23.37867,9.048045
4881,21.33176,24.87066,7.800251,23.46008,9.112609
4883,21.70184,25.00317,7.831344,23.44893,9.084655
4885,21.88216,25.22751,7.90226,23.34047,9.13686
4887,21.69663,25.03177,7.815022,23.03429,8.911517
4889,21.03913,24.90803,7.692822,22.75781,8.493506
4891,20.85293,24.83395,7.614574,22.51212,8.278643
4893,20.78488,24.86291,7.585784,22.38245,8.324087
4895,20.71707,24.85658,7.522886,22.36614,8.330759
4897,20.6386,24.86788,7.528791,22.29573,8.33512
4899,20.55939,24.91197,7.535607,22.18102,8.309642
4901,20.35389,24.72573,7.402378,21.88779,8.225677
4903,20.30981,24.607,7.423218,21.83811,8.267276
4905,20.48676,24.50182,7.386648,21.89977,8.266051
4907,20.87369,24.69104,7.323016,21.91469,8.328321
4909,20.88987,24.61201,7.243839,22.11503,8.458895
4911,20.89564,24.48181,7.150447,22.33336,8.643647
4913,20.88428,24.75979,7.511354,22.33418,8.627206
4915,20.79362,24.65189,7.359607,22.26087,8.55039
4917,20.74317,24.67347,7.213019,22.27464,8.613415
4919,20.71312,24.80289,7.065034,22.37899,8.659104
4921,20.59036,24.902,7.026418,22.24953,8.680313
4923,20.46235,24.85295,7.147308,22.38617,8.712567
4925,20.32617,24.76551,7.421058,22.63256,8.700363
4927,20.07555,24.70827,7.220191,22.49559,8.511901
4929,19.83645,24.75765,7.205554,22.56059,8.616973
4931,19.60701,24.79757,7.200397,22.59132,8.67942
4933,19.42455,24.75081,7.197527,22.56293,8.632865
4935,19.31373,24.8442,7.169127,22.5102,8.610426
4937,19.22921,24.82134,7.139769,22.47284,8.595839
4939,19.14439,24.83459,7.113242,22.39624,8.618373
4941,19.05984,24.89562,7.086597,22.35108,8.577408
4943,19.04442,24.93768,6.993283,22.60439,8.4894
4945,18.40968,24.10654,6.748049,21.91429,8.3163
4947,18.28979,24.00208,6.674431,21.97796,8.286025
4949,18.22065,23.98938,6.612223,21.90956,8.298977
4951,18.20156,24.1721,6.68217,22.35341,8.4929
4953,18.17883,24.22445,6.610652,21.95427,8.473113
4955,18.1153,23.77518,6.551898,21.78503,8.383313
4957,18.05986,23.71593,6.538977,21.74438,8.343197
4959,17.94558,23.95687,6.515211,21.72692,8.278659
4961,17.80709,24.10973,6.477949,21.79651,8.29116
4963,17.66908,23.99628,6.8026,21.82681,8.304852
4965,17.55092,23.82382,6.587482,21.77577,8.352057
4967,17.45704,23.62759,6.473495,21.83161,8.321358
4969,17.48962,24.57103,6.580343,22.19606,8.455233
4971,17.32805,24.22894,6.651135,22.38781,8.346334
4973,17.22493,24.3243,6.63526,22.28823,8.310328
4975,17.12343,24.40908,6.63938,22.09105,8.357762
4977,16.99992,24.44777,6.688332,22.12604,8.388922
4979,16.85432,24.527,6.621775,22.17322,8.403805
4981,16.681,24.66196,6.603175,22.11544,8.407858
4983,16.51098,24.77736,6.610802,22.08554,8.407357
4985,16.37644,24.87667,6.638657,22.23944,8.377788
4987,16.24245,25.01917,6.733225,22.25027,8.383104
4989,16.09536,25.09006,6.820131,22.30234,8.367902
4991,15.94857,25.13606,6.836395,22.49501,8.492583
4993,15.79929,25.23625,6.76334,22.53944,8.479054
4995,15.57977,25.35411,6.913803,22.77446,8.534468
4997,15.29067,26.07036,7.088378,23.30054,8.868181
4999,14.969,25.89689,7.066708,23.06313,8.895022
5001,14.74851,25.70628,7.049489,23.16569,8.848768
5003,14.64302,25.64366,7.036728,23.09822,8.888914
5005,14.46452,25.81627,6.97226,23.05528,8.963217
5007,14.26107,25.58303,6.950746,22.89847,9.033689
5009,14.09941,25.4531,7.118834,23.21204,9.196839
5011,14.05114,25.85639,7.464711,23.44428,9.465516
5013,13.96388,26.16114,7.606236,23.44608,9.484409
5015,13.48033,26.16332,7.648209,23.23248,9.477722
5017,13.05935,25.48904,7.45582,22.73835,9.293205
5019,12.99806,25.2891,7.393878,22.68876,9.254762
5021,13.02273,25.67474,7.397892,22.857,9.307958
5023,12.97829,26.07211,7.484829,22.86582,9.279523
5025,12.90319,25.77699,7.584662,22.52565,9.245335
5027,12.73984,25.65823,7.749261,22.47533,9.095737
5029,12.58992,25.6442,7.648441,22.46445,9.01575
5031,12.48392,26.51184,7.715639,22.55763,9.127998
5033,12.44456,26.50389,7.784637,22.84972,9.246652
5035,12.37439,26.43851,7.803204,22.96343,9.28522
5037,12.3104,26.53795,7.739,22.94746,9.168169
5039,12.26281,26.42513,7.728316,22.97861,9.164225
5041,12.00084,26.31062,7.663578,22.90677,9.113575
5043,11.78744,26.2556,7.492348,22.84481,8.991652
5045,11.52724,25.74978,7.385053,22.64934,8.89832
5047,11.1947,25.43366,7.332788,22.50721,8.828817
5049,10.93019,25.48312,7.295146,22.53661,8.780909
5051,10.81896,25.86529,7.524895,22.6709,8.785214
5053,10.73287,25.90389,7.686068,22.91157,8.94811
5055,10.6425,25.80012,7.700598,23.0154,8.952248
5057,10.61569,25.79627,7.625344,23.0254,9.069003
5059,10.59005,26.16797,7.714387,23.24429,9.077859
5061,10.56759,26.37679,7.635511,23.26122,9.091312
5063,10.65747,26.48663,7.79085,23.42115,9.186625
5065,10.74175,26.49981,7.939718,23.45759,9.294026
5067,10.66445,26.35689,7.881569,23.43521,9.305494
5069,10.44223,26.1471,7.544728,23.1718,8.978357
5071,10.28601,26.19296,7.529725,23.03608,8.811281
5073,10.07768,25.53182,7.267836,22.86782,8.673657
5075,10.79403,25.98757,7.055446,22.77387,8.724545
5077,11.25524,26.08473,6.993036,22.538,8.751969
5079,11.19144,26.08322,7.070116,22.62138,8.772459
5081,11.0708,25.918,7.075557,22.49327,8.726788
5083,10.75029,25.86821,7.110958,22.36309,8.725883
5085,10.60915,25.94157,7.322167,22.37176,8.740261
5087,10.64852,26.05163,7.397436,22.4297,8.723668
5089,10.68534,26.21789,7.421501,22.58274,8.850492
5091,10.70827,26.28612,7.424283,22.65176,8.937768
5093,10.7309,26.35435,7.427554,22.69787,9.034737
5095,10.82713,26.41741,7.429545,22.80638,9.102328
5097,11.16562,26.60698,7.501433,22.88582,9.244109
5099,11.18066,26.70731,7.523982,22.91167,9.199347
5101,11.1957,26.80726,7.546531,22.95422,9.169422
5103,11.20987,26.74498,7.569097,22.93048,9.164232
5105,10.99828,26.45459,7.562693,22.8007,8.951688
5107,10.57675,26.23195,7.576732,22.74951,8.862668
5109,10.65336,25.77056,7.355573,22.68141,8.817859
5111,10.70062,25.39209,7.215757,22.56969,8.815106
5113,10.71707,25.18825,7.235871,22.43832,8.828706
5115,10.89641,24.88554,7.329895,22.43732,8.80091
5117,11.24336,25.02928,7.557415,22.52704,8.873553
5119,12.02186,25.30353,7.632081,22.73077,9.037984
5121,12.29505,25.08812,7.608,22.60634,9.007054
5123,12.48068,24.86901,7.577448,22.59181,8.962445
5125,12.58168,24.69556,7.50381,22.49758,8.858244
5127,12.6839,24.70842,7.459918,22.39065,8.726583
5129,12.77805,24.68445,7.464871,22.13586,8.734178
5131,12.87654,24.72343,7.515394,21.93717,8.604782
5133,12.9798,24.81481,7.523897,21.88051,8.552569
5135,13.11553,24.87289,7.489741,21.88012,8.618374
5137,13.27057,24.88574,7.461995,21.89556,8.520627
5139,13.6784,24.94984,7.479811,22.29788,8.500941
5141,14.42827,25.12836,7.607903,22.90856,8.805676
5143,14.61905,25.29372,7.65981,22.65464,8.822392
5145,14.6746,24.95568,7.638238,22.52513,8.828344
5147,14.77215,24.6829,7.510991,22.41101,8.821587
5149,14.8567,24.65112,7.383744,22.2969,8.705604
5151,14.89118,24.27648,7.161687,22.07147,8.610889
5153,14.85214,24.04054,6.997285,21.86153,8.495548
5155,14.90404,23.83973,6.941431,21.66897,8.396038
5157,14.95582,23.66189,6.88594,21.53786,8.282955
5159,14.97712,23.58494,6.796159,21.36434,8.171755
5161,15.36808,23.64847,6.862198,21.63914,8.510354
5163,15.31595,23.54972,7.14048,21.7264,8.642975
5165,15.4578,23.79591,6.904286,21.61433,8.703673
5167,15.80554,24.03318,6.973812,21.55808,8.839647
5169,16.01707,24.04462,7.114748,21.21621,8.63409
5171,16.30334,24.22575,7.248355,21.67019,8.717413
5173,16.39884,24.22415,7.197232,21.83626,8.72025
5175,16.40693,24.1433,7.173572,21.84577,8.756709
5177,16.41505,24.14624,7.158406,21.88357,8.80024
5179,16.41966,24.12186,7.113744,21.92865,8.812759
5181,16.43081,24.09278,7.065799,21.9047,8.754052
5183,16.43972,24.06386,7.05365,21.9389,8.767642
5185,16.51534,24.20278,7.037981,22.18682,8.845005
5187,16.56412,24.26836,7.048125,22.29946,8.899322
5189,16.58549,24.25542,7.089606,22.27821,8.842131
5191,16.5879,24.24713,7.036233,22.12748,8.801291
5193,16.59011,24.045,7.002451,22.11682,8.762476
5195,16.57421,23.88869,6.990189,21.95254,8.671375
5197,16.54225,23.44789,6.752153,21.45037,8.530382
5199,16.43266,23.29418,6.761834,21.41707,8.505756
5201,16.3233,23.14738,6.771703,21.37158,8.408706
5203,16.27003,22.9644,6.899178,21.2745,8.418331
5205,16.34776,22.89102,6.897079,21.22067,8.428364
5207,16.72516,23.25964,6.827024,21.20884,8.549249
5209,16.847,23.48936,6.884573,21.12854,8.595779
5211,16.66206,23.05271,6.824266,20.76905,8.266671
5213,16.50154,22.85495,6.827105,20.75585,8.109796
5215,16.41243,22.84209,6.79328,20.6527,8.08751
5217,16.35674,22.70008,6.761186,20.65433,8.061964
5219,16.33146,22.51116,6.730824,20.64866,8.03309
5221,16.24208,22.22246,6.599045,20.37719,7.805151
5223,16.25741,21.81851,6.595594,20.15231,7.768747
5225,16.31846,22.23698,6.614612,20.08147,7.784438
5227,16.41004,22.55956,6.633486,20.28269,7.925302
5229,16.48541,22.54701,6.618646,20.32684,7.908606
5231,16.52489,22.33929,6.228189,19.88795,7.705329
5233,16.57298,21.80649,6.248519,19.62712,7.621722
5235,16.62175,21.67954,6.269694,19.42873,7.47622
5237,16.80591,21.7119,6.257264,19.37483,7.514016
5239,16.97807,21.72342,6.310756,19.46621,7.540347
5241,17.15338,21.76541,6.462619,19.52085,7.551903
5243,17.53496,22.19677,6.533612,19.8914,7.833546
5245,17.53914,22.20118,6.573148,20.07421,7.857114
5247,17.55067,22.37949,6.641476,20.23579,7.940325
5249,17.55231,22.4832,6.722526,20.35266,7.975364
5251,17.46592,22.24204,6.717384,20.43266,8.031886
5253,17.43579,22.03257,6.627363,20.15888,7.915854
5255,17.43497,22.18979,6.775857,20.28032,8.036681
5257,17.45087,22.28542,6.832557,20.57919,8.088249
5259,17.45194,22.80252,6.902446,20.6304,8.097133
5261,17.45643,22.83502,6.880809,20.63737,8.126027
5263,17.38888,23.00101,6.836696,20.61824,8.321066
5265,17.60237,23.2865,6.717304,20.69033,8.200765
5267,17.63707,23.25586,6.588178,20.72491,8.198334
5269,17.67325,23.33145,6.454072,20.8348,8.217908
5271,17.6896,23.18446,6.373184,20.8397,8.263241
5273,17.8583,23.25353,7.05933,21.46204,8.485507
5275,17.31789,23.43414,7.233513,21.38819,8.573569
5277,16.96668,23.12186,6.693234,21.14489,8.551732
5279,16.90518,23.03088,6.749234,21.08286,8.448934
5281,16.89653,23.00851,6.722588,21.1376,8.43537
5283,17.09997,23.6318,6.719835,21.40751,8.548576
5285,17.13376,23.57221,6.713023,21.53207,8.605239
5287,17.17255,23.04346,6.829567,21.44794,8.682937
5289,17.40784,22.9028,7.428187,21.43724,8.744385
5291,17.57202,23.36738,7.671501,21.60407,8.86533
5293,17.85306,23.90626,7.960969,21.92012,9.114076
5295,18.05985,23.9798,8.293807,22.14454,9.368823
5297,17.79635,23.69999,8.263817,22.10503,9.337394
5299,17.86983,23.84011,8.392983,22.20998,9.454907
5301,18.10677,24.41465,8.503653,22.5756,9.782835
5303,19.0657,25.13961,8.822045,23.18455,10.10332
5305,19.72999,25.32884,8.920625,23.50002,10.30349
5307,20.5083,25.72984,9.009492,23.66142,10.46801
5309,20.73438,25.92491,9.021796,23.71407,10.50415
5311,20.92225,25.96303,9.026714,23.71716,10.53253
5313,21.06505,25.9833,9.031761,23.67135,10.54749
5315,21.07417,25.99187,9.017271,23.65938,10.56312
5317,20.87662,25.84706,8.761519,23.61462,10.34703
5319,20.20987,25.56594,8.536879,23.27233,10.2313
5321,20.07579,25.51374,8.501396,23.2542,10.20586
5323,20.43359,25.4852,8.470662,23.24067,10.25491
5325,20.43508,25.43347,8.416119,23.32079,10.23682
5327,20.4504,25.39152,8.40661,23.299,10.19641
5329,20.4688,25.41265,8.408905,23.28763,10.18423
5331,20.48731,25.43383,8.410942,23.28456,10.17205
5333,20.50581,25.455,8.412978,23.2815,10.15987
5335,20.4967,25.21757,8.410082,23.23728,10.11072
5337,20.46848,25.10995,8.302102,23.15871,10.08065
5339,20.18776,25.06037,8.14845,22.85009,9.880856
5341,19.5663,24.56867,8.064649,22.20182,9.580674
5343,19.46342,24.21999,8.087042,22.23294,9.482286
5345,19.50214,24.56898,8.21947,22.42033,9.570608
5347,19.44174,24.76952,8.204009,22.55881,9.628147
5349,19.38134,24.89584,8.32037,22.64374,9.686082
5351,19.33478,24.98165,8.444034,22.8422,9.761558
5353,19.31286,25.26142,8.478614,22.95804,9.794839
5355,19.28972,25.40007,8.49966,23.07751,9.880332
5357,19.26507,25.53881,8.514975,23.19925,10.03244
5359,19.83063,25.73189,8.506064,23.45234,10.1839
5361,19.74478,25.21377,8.085823,22.97443,9.86629
5363,19.85695,25.09453,7.900887,22.92898,9.821133
5365,19.82036,25.16455,7.965404,22.84872,9.71914
5367,19.61991,25.19114,8.030424,22.63368,9.63759
5369,19.42708,24.73714,7.84401,22.46518,9.60967
5371,19.28997,24.59005,7.656333,22.24767,9.408509
5373,19.35401,24.51167,7.645824,22.18808,9.372509
5375,19.80653,24.65717,7.923853,22.52226,9.395105
5377,20.37573,25.19078,8.134176,23.02866,9.827845
5379,20.8032,25.40153,8.426753,23.41249,9.906323
5381,21.5897,25.70684,8.733172,23.6694,10.10383
5383,22.29711,26.46893,8.728172,23.94526,10.18765
5385,22.6803,26.09374,8.404542,24.18749,10.19716
5387,23.10247,26.33015,8.293362,24.27962,10.42586
5389,23.28302,26.78242,8.343719,24.43996,10.5881
5391,23.46994,26.80856,8.411248,24.45765,10.60772
5393,23.66419,26.85873,8.494091,24.4769,10.64333
5395,24.13425,27.2121,8.49141,24.61759,11.00084
5397,24.85859,27.37875,8.756509,25.15742,11.23206
5399,25.70488,27.59881,9.026143,25.55737,11.41473
5401,26.6899,28.05278,9.068295,25.98937,11.42762
5403,27.6433,28.24858,9.119705,26.17482,11.40309
5405,27.88242,28.15052,9.156055,26.15387,11.35704
5407,27.72808,28.17449,9.137746,25.80692,11.13668
5409,27.66233,27.73162,9.167449,25.3898,11.07097
5411,27.76864,27.49252,9.20275,25.26879,11.01472
5413,27.87496,27.25341,9.026501,25.14779,10.95471
5415,27.99527,27.12761,9.011255,25.08609,10.85646
5417,28.11233,27.04861,8.995971,24.96808,10.76535
5419,28.22616,26.99342,8.980646,24.9008,10.71132
5421,28.31933,26.93823,8.964722,24.79361,10.7475
5423,28.37257,26.85988,8.929078,24.63462,10.70276
5425,28.40655,26.75836,8.862106,24.49551,10.63196
5427,28.42272,26.67673,8.799045,24.38872,10.46879
5429,28.45345,26.42141,8.738478,24.2538,10.5039
5431,28.49875,26.24986,8.678192,24.12358,10.49387
5433,28.55297,26.1461,8.636349,24.04179,10.42236
5435,28.61561,26.12969,8.586715,23.9717,10.30432
5437,28.73984,26.3608,8.538183,24.00098,10.1989
5439,28.80981,26.22738,8.483486,24.03324,10.1222
5441,28.97962,25.85581,8.452371,24.10544,10.09329
5443,29.00124,25.30807,8.321935,23.90283,9.810516
5445,29.2653,25.41692,8.30352,23.73135,9.824206
5447,29.71339,25.61659,8.385685,23.7933,9.997474
5449,29.92733,26.18246,8.502814,24.06044,10.32822
5451,30.54212,26.90281,8.874226,24.29437,10.73246
5453,30.67955,27.07215,9.168875,24.85308,10.8627
5455,30.81333,27.53093,9.252857,25.10843,11.00114
5457,30.82133,27.86564,9.3351,25.12387,10.97148
5459,30.85665,27.5635,9.477207,25.74702,10.87235
5461,30.91441,27.83715,9.811201,25.89608,11.09115
5463,31.06865,28.36792,10.58191,26.57645,11.49054
5465,30.80412,28.76283,10.77144,26.87193,11.95344
5467,30.71172,29.00149,10.95441,27.06618,12.22686
5469,31.27542,29.22212,11.09038,27.34129,12.3576
